,Equal Weights,HRP,MV
60m_covid_AV,16.641633081114385,13.189365128990945,7.703693013387632
60m_covid_SD,25.044427070322616,19.890721669767306,20.9140742939247
60m_covid_SR,0.5986015587028268,0.5801380824975336,0.28945546086857704
60m_covid_ASR,0.14709830795419213,0.14256115620564574,0.07112979895030047
60m_covid_SoR,0.2654702607087573,0.24606734903091332,0.12549821508776907
60m_covid_TO,3.6146098568218945,2.939689132542995,3.021428671970111
60m_covid_SSW,53.942934347135214,34.02111811689672,36.688435615986364
120m_covid_AV,13.389877056832919,11.53574250808264,5.966247678648362
120m_covid_SD,25.747880558333147,19.827984665171662,17.738592839005246
120m_covid_SR,0.4559550845451387,0.4985752548743488,0.24332525797409363
120m_covid_ASR,0.1120448493068446,0.12251818478183399,0.05979392002932558
120m_covid_SoR,0.20034519197834036,0.20982956000027955,0.09851200082204471
120m_covid_TO,3.695924595414392,2.996271574158823,2.680667783217753
120m_covid_SSW,56.12286651591448,33.46811908145551,26.293858390183576
60m_wo_covid_AV,17.052323251602004,13.890650720636245,8.583655994578573
60m_wo_covid_SD,23.985335802735698,18.916958072165727,19.849997736049524
60m_wo_covid_SR,0.6421558313077801,0.647072889517424,0.3493026088353846
60m_wo_covid_ASR,0.15780118654048872,0.15900948767541773,0.08583643322782994
60m_wo_covid_SoR,0.32941634799110475,0.3058287688488491,0.1489389309871626
60m_wo_covid_TO,3.53404598407904,2.85335870302474,2.907087178607842
60m_wo_covid_SSW,49.69726461616551,30.997022350725995,33.16644841749229
120m_wo_covid_AV,13.256241338380992,12.46816180163866,7.9166399174671955
120m_wo_covid_SD,24.365879096620514,18.336569624188755,16.73215738672065
120m_wo_covid_SR,0.47633172980780103,0.5899774070809756,0.37452671359884915
120m_wo_covid_ASR,0.1170521367025135,0.14497903831202183,0.09203491880879872
120m_wo_covid_SoR,0.25407523692480016,0.2959787208092239,0.1555477579094584
120m_wo_covid_TO,3.594401544933986,2.86303527285442,2.6384574201144493
120m_wo_covid_SSW,50.289474792056545,28.869032663305816,23.574421718295774
